"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"AE1,AE2","2","Antenna","","","","","${EXCLUDE_FROM_POS_FILES}","",""
"C1,C3,C8,C11,C22,C23,C24,C25,C28,C29,C30,C34","12","100n","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C2,C35","2","4.7u","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C4","1","10n","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C5,C33","2","1u","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C6,C7","2","4.3p","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C9,C10","2","15p","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C12,C13","2","150p","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C14,C15","2","100p","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C16,C17","2","68p","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C18,C19","2","270p","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C20,C21,C36","3","10u","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C26,C27,C31,C32","4","2.2u","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"D1,D5","2","RED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_SMD:LED_0805_2012Metric",""
"D2,D3,D6","3","GREEN","","","","","${EXCLUDE_FROM_POS_FILES}","LED_SMD:LED_0805_2012Metric",""
"D4","1","SS14","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"FB1,FB2","2","600R@100MHz","","","","","${EXCLUDE_FROM_POS_FILES}","Inductor_SMD:L_0402_1005Metric",""
"J1","1","USB-C","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_USB:USB_C_Receptacle_GCT_USB4110","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","BATTERY","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_JST:JST_XA_B02B-XASK-1_1x02_P2.50mm_Vertical",""
