Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",107.990605,-112.206504,180.000000,top
"C2","4.7u","C_0805_2012Metric",123.436759,-122.604710,0.000000,top
"C3","100n","C_0805_2012Metric",123.428360,-120.451861,0.000000,top
"C4","10n","C_0805_2012Metric",108.500000,-118.750000,180.000000,top
"C5","1u","C_0805_2012Metric",108.500000,-121.250000,180.000000,top
"C6","4.3p","C_0805_2012Metric",105.455183,-116.670965,180.000000,top
"C7","4.3p","C_0805_2012Metric",105.490073,-114.519408,0.000000,top
"C8","100n","C_0805_2012Metric",120.500000,-133.000000,0.000000,top
"C9","15p","C_0805_2012Metric",152.188903,-115.742658,180.000000,top
"C10","15p","C_0805_2012Metric",152.188903,-123.742658,180.000000,top
"C11","100n","C_0805_2012Metric",147.728230,-123.907496,0.000000,top
"C12","150p","C_0805_2012Metric",142.225000,-108.725000,0.000000,top
"C13","150p","C_0805_2012Metric",134.225000,-108.725000,180.000000,top
"C15","10p","C_0805_2012Metric",135.225000,-103.225000,-90.000000,top
"C16","68p","C_0805_2012Metric",139.225000,-107.225000,-90.000000,top
"C17","68p","C_0805_2012Metric",137.117842,-107.218522,-90.000000,top
"C18","270p","C_0805_2012Metric",142.225000,-106.225000,0.000000,top
"C19","270p","C_0805_2012Metric",134.225000,-106.225000,180.000000,top
"C20","10u","C_0805_2012Metric",150.976358,-110.762487,90.000000,top
"C21","10u","C_0805_2012Metric",143.725000,-111.275000,0.000000,top
"C22","100n","C_0805_2012Metric",134.500000,-111.500000,180.000000,top
"C23","100n","C_0805_2012Metric",146.500000,-109.775000,90.000000,top
"C24","100n","C_0805_2012Metric",151.697011,-113.566884,0.000000,top
"C25","100n","C_0805_2012Metric",143.725000,-113.775000,0.000000,top
"C26","2.2u","C_0805_2012Metric",147.725000,-113.275000,0.000000,top
"C27","2.2u","C_0805_2012Metric",148.725000,-109.775000,90.000000,top
"C28","100n","C_0805_2012Metric",146.500000,-116.275000,90.000000,top
"C29","100n","C_0805_2012Metric",147.728230,-119.651226,0.000000,top
"C30","100n","C_0805_2012Metric",134.725000,-120.775000,180.000000,top
"C31","2.2u","C_0805_2012Metric",148.725000,-116.275000,90.000000,top
"C32","2.2u","C_0805_2012Metric",147.725000,-121.775000,0.000000,top
"C33","1u","C_0805_2012Metric",134.725000,-123.000000,180.000000,top
"C34","100n","C_0805_2012Metric",144.500000,-133.000000,180.000000,top
"C35","4.7u","C_0805_2012Metric",125.500000,-134.000000,180.000000,top
"C36","10u","C_0805_2012Metric",151.386040,-131.995813,90.000000,top
"C37","10p","C_0805_2012Metric",141.447885,-103.287958,90.000000,top
"C38","150p","C_0805_2012Metric",143.510656,-103.262915,90.000000,top
"C39","150p","C_0805_2012Metric",133.118169,-103.245251,-90.000000,top
"D1","RED","LED_0805_2012Metric",139.000000,-142.500000,-90.000000,top
"D2","GREEN","LED_0805_2012Metric",141.500000,-142.500000,-90.000000,top
"D3","GREEN","LED_0805_2012Metric",144.000000,-142.500000,-90.000000,top
"D4","SS14","D_SMA",154.000000,-106.000000,90.000000,top
"D5","RED","LED_0805_2012Metric",115.000000,-129.262500,90.000000,top
"D6","GREEN","LED_0805_2012Metric",112.500000,-129.262500,90.000000,top
"FB1","600R@100MHz","L_0402_1005Metric",109.500000,-123.500000,90.000000,top
"FB2","600R@100MHz","L_0402_1005Metric",152.984494,-111.985000,0.000000,top
"J1","USB-C","USB_C_Receptacle_GCT_USB4110",130.038808,-141.332395,0.000000,top
"J2","BATTERY","JST_XA_B02B-XASK-1_1x02_P2.50mm_Vertical",156.200000,-133.600000,90.000000,top
"J3","SWD","PinHeader_1x04_P2.54mm_Vertical",104.500000,-127.310000,180.000000,top
"J4","VIB_MOTOR","PinHeader_1x02_P2.54mm_Vertical",158.000000,-107.275000,180.000000,top
"J7","PN532","PinSocket_1x08_P2.54mm_Vertical",130.040000,-109.000000,-90.000000,top
"L3","470nH","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",139.225000,-111.225000,90.000000,top
"L4","470nH","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",137.225000,-111.225000,90.000000,top
"Q1","AO3400A","SOT-23",154.063965,-100.303097,-90.000000,top
"R1","5.1k","R_0805_2012Metric",125.500000,-131.500000,180.000000,top
"R2","5.1k","R_0805_2012Metric",133.000000,-134.500000,0.000000,top
"R3","470R","R_0805_2012Metric",139.000000,-139.000000,90.000000,top
"R4","470R","R_0805_2012Metric",141.500000,-139.000000,90.000000,top
"R5","470R","R_0805_2012Metric",144.000000,-139.000000,90.000000,top
"R6","1k","R_0805_2012Metric",149.000000,-139.000000,180.000000,top
"R7","10k","R_0805_2012Metric",116.000000,-142.000000,-90.000000,top
"R8","10k","R_0805_2012Metric",104.500000,-131.500000,-90.000000,top
"R9","470R","R_0805_2012Metric",115.000000,-125.762500,-90.000000,top
"R10","470R","R_0805_2012Metric",112.500000,-125.762500,-90.000000,top
"R11","10k","R_0805_2012Metric",154.000000,-97.000000,180.000000,top
"R12","10k","R_0805_2012Metric",141.225000,-124.225000,180.000000,top
"R15","1.5k","R_0805_2012Metric",138.312500,-104.225000,180.000000,top
"R16","4.7M","R_0805_2012Metric",148.500000,-133.000000,180.000000,top
"R17","2.7M","R_0805_2012Metric",144.500000,-130.500000,180.000000,top
"R18","4.7M","R_0805_2012Metric",138.000000,-134.087500,90.000000,top
"R19","4.7M","R_0805_2012Metric",138.000000,-130.587500,90.000000,top
"R20","10k","R_0805_2012Metric",122.500000,-105.412500,-90.000000,top
"R21","0","R_0805_2012Metric",139.284699,-101.343590,90.000000,top
"R22","0","R_0805_2012Metric",137.284346,-101.359375,-90.000000,top
"SW1","RST","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",119.500000,-139.000000,90.000000,top
"SW2","BOOT0","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",112.000000,-139.000000,90.000000,top
"SW3","POWER","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",104.500000,-139.000000,90.000000,top
"TH1","10k NTC","R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",154.095000,-138.000000,0.000000,top
