Quantity,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Customer Reference
15,1276-1003-1-ND,CL21B104KBCNNNC,Samsung Electro-Mechanics,"C1,C3,C8,C11,C22,C23,C24,C25,C28,C29,C30,C34"
4,1276-2415-1-ND,CL21A475KACLRNC,Samsung Electro-Mechanics,"C2,C35"
3,1276-1015-1-ND,CL21B103KBANNNC,Samsung Electro-Mechanics,C4
4,399-C0805C105K3RACTUCT-ND,C0805C105K3RACTU,KEMET,"C5,C33"
4,399-C0805C829C5GACTUCT-ND,C0805C829C5GACTU,KEMET,"C6,C7"
4,399-C0805C150J5GACTUCT-ND,C0805C150J5GACTU,KEMET,"C9,C10"
6,399-C0805C151J5GACTUCT-ND,C0805C151J5GACTU,KEMET,"C12,C13,C38,C39"
4,399-C0805C100J5GAC7800CT-ND,C0805C100J5GACTU,KEMET,"C15,C37"
6,399-C0805C680J5GACTUCT-ND,C0805C680J5GACTU,KEMET,"C16,C17"
6,399-C0805C271J5GACTUCT-ND,C0805C271J5GACTU,KEMET,"C18,C19"
4,1276-2890-1-ND,CL21A106KAFN3NE,Samsung Electro-Mechanics,"C20,C21,C36"
6,1276-2954-1-ND,CL21B225KAFNNNE,Samsung Electro-Mechanics,"C26,C27,C31,C32"
3,160-1415-1-ND,LTST-C170KRKT,Lite-On Inc.,"D1,D5"
4,160-1414-1-ND,LTST-C170KGKT,Lite-On Inc.,"D2,D3,D6"
1,SS14-E3/61TGICT-ND,SS14-E3/61T,Vishay General Semiconductor,D4
4,490-1006-1-ND,BLM15AG601SN1D,Murata Electronics,"FB1,FB2"
1,2073-USB4110-GF-A-1-ND,USB4110-GF-A,GCT,J1
1,455-B02B-XASK-1-ND,B02B-XASK-1,JST Sales America Inc.,J2
1,35-PREC004SAAN-RC-ND,PREC004SAAN-RC,Sullins Connector Solutions,J3
1,35-PREC002SAAN-RC-ND,PREC002SAAN-RC,Sullins Connector Solutions,J4
1,S7006-ND,PPTC081LFBN-RC,Sullins Connector Solutions,J7
2,2457-0805CS-471XJRC-ND,0805CS-471XJRC,Coilcraft,"L3,L4"
1,785-1000-1-ND,AO3400A,Alpha & Omega Semiconductor,Q1
4,RMCF0805FT5K10CT-ND,RMCF0805FT5K10,Stackpole Electronics,"R1,R2"
7,RMCF0805FT470RCT-ND,RMCF0805FT470R,Stackpole Electronics,"R3,R4,R5,R9,R10"
3,RMCF0805FT1K00CT-ND,RMCF0805FT1K00,Stackpole Electronics,R6
7,RMCF0805FT10K0CT-ND,RMCF0805FT10K0,Stackpole Electronics,"R7,R8,R11,R12,R20"
3,RMCF0805FT1K50CT-ND,RMCF0805FT1K50,Stackpole Electronics,R15
5,RMCF0805FT4M70CT-ND,RMCF0805FT4M70,Stackpole Electronics,"R16,R18,R19"
3,RMCF0805FT2M70CT-ND,RMCF0805FT2M70,Stackpole Electronics,R17
4,RMCF0805ZT0R00CT-ND,RMCF0805ZT0R00,Stackpole Electronics,"R21,R22"
3,CKN12321-1-ND,PTS636SM25SMTR LFS,C&K,"SW1,SW2,SW3"
1,BC2301-ND,NTCLE100E3103JB0,Vishay BC Components,TH1
1,497-STM32L432KCU6TRCT-ND,STM32L432KCU6TR,STMicroelectronics,U1
1,MCP73833-AMI/UN-ND,MCP73833-AMI/UN,Microchip Technology,U2
1,296-TPS7A0233PDBVRCT-ND,TPS7A0233PDBVR,Texas Instruments,U3
1,497-18366-1-ND,ST25R3916-AQWT,STMicroelectronics,U5
1,497-11882-1-ND,USBLC6-2SC6Y,STMicroelectronics,U6
1,535-14403-1-ND,ABM8-27.120MHZ-10-D1G-T,Abracon LLC,Y1
1,535-11937-1-ND,ABS07-120-32.768KHZ-T,Abracon LLC,Y2
