Comment,Designator,Footprint,LCSC Part #
100n,"C1,C3,C8,C11,C22,C23,C24,C25,C28,C29,C30,C34",0805,C49678
4.7u,"C2,C35",0805,C1779
10n,C4,0805,C1710
1u,"C5,C33",0805,C28323
8.2p,"C6,C7",0805,C1840
15p,"C9,C10",0805,C107110
150p,"C12,C13,C38,C39",0805,C107111
10p,"C15,C37",0805,C107107
68p,"C16,C17",0805,C107120
270p,"C18,C19",0805,C107106
10u,"C20,C21,C36",0805,C15850
2.2u,"C26,C27,C31,C32",0805,C377773
RED,"D1,D5",0805,C84256
GREEN,"D2,D3,D6",0805,C98221
SS14,D4,D_SMA,C2480
600R@100MHz,"FB1,FB2",0402,C76884
USB-C,J1,USB_C_Receptacle_GCT_USB4110,C5143397
BATTERY,J2,JST_XA_B02B-XASK-1_1x02_P2.50mm_Vertical,C263753
SWD,J3,PinHeader_1x04_P2.54mm_Vertical,C2691448
VIB_MOTOR,J4,PinHeader_1x02_P2.54mm_Vertical,C492401
PN532,J7,PinSocket_1x08_P2.54mm_Vertical,C42431840
470nH,"L3,L4",0805,C337959
AO3400A,Q1,SOT-23,C20917
5.1k,"R1,R2",0805,C27834
470R,"R3,R4,R5,R9,R10",0805,C17710
1k,R6,0805,C17513
10k,"R7,R8,R11,R12,R20",0805,C17414
1.5k,R15,0805,C4310
4.7M,"R16,R18,R19",0805,C17674
2.7M,R17,0805,C17531
0,"R21,R22",0805,C17477
RST / BOOT0 / POWER,"SW1,SW2,SW3",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,C2689642
10k NTC,TH1,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,C141588
STM32L432KCU6,U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C1337280
MCP73833,U2,MSOP-10_3x3mm_P0.5mm,C627668
TPS7A0233,U3,SOT23_DBV_TEX-L,C2887324
ST25R3916,U5,QFN50P500X500X100-33N,C2908147
USBLC6-2SC6,U6,SOT-23-6,C7519
27.12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C29975
32.768k,Y2,Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm,C95361
