Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,4.7u,C1779
"C10, C11",0805,2,8.2p,C1840
"C12, C13",0805,2,15p,C107110
"C14, C15, C19, C20",0805,4,150p,C107111
"C16, C17",0805,2,10p,C107107
"C18, C27, C28, C29, C3, C30, C33, C34, C35, C5, C6, C7",0805,12,100n,C49678
"C2, C25, C26",0805,3,10u,C15850
"C21, C22",0805,2,68p,C107120
"C23, C24",0805,2,270p,C107106
"C31, C32, C36, C37",0805,4,2.2u,C377773
"C38, C9",0805,2,1u,C28323
C8,0805,1,10n,C1710
"D1, D2, D6",0805,3,GREEN,C98221
"D3, D5",0805,2,RED,C84256
D4,D_SMA,1,SS14,C2480
"FB1, FB2",0402,2,600R@100MHz,C76884
J1,USB_C_Receptacle_GCT_USB4110,1,USB-C,C5143397
J2,JST_XA_B02B-XASK-1_1x02_P2.50mm_Vertical,1,BATTERY,C263753
J3,PinSocket_1x08_P2.54mm_Vertical,1,PN532,C42431840
J4,PinHeader_1x02_P2.54mm_Vertical,1,VIB_MOTOR,C492401
J5,PinHeader_1x04_P2.54mm_Vertical,1,SWD,C2691448
J6,SolderWirePad_1x01_SMD_1x2mm,1,CSO,
J7,SolderWirePad_1x01_SMD_1x2mm,1,CSI,
"L1, L2",0805,2,470nH,C337959
Q1,SOT-23,1,AO3400A,C20917
"R1, R2",0805,2,5.1k,C27834
"R10, R7, R9",0805,3,4.7M,C17674
"R11, R12, R13, R16, R17",0805,5,10k,C17414
"R14, R15, R3, R4, R5",0805,5,470R,C17710
R18,0805,1,1.5k,C4310
"R19, R20",0805,2,0,C17477
R6,0805,1,1k,C17513
R8,0805,1,2.7M,C17531
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RST,C2689642
SW2,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,BOOT0,C2689642
SW3,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,POWER,C2689642
TH1,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,10k NTC,C141588
U1,SOT-23-6,1,USBLC6-2SC6,C7519
U2,MSOP-10_3x3mm_P0.5mm,1,MCP73833-xxx-UN,C627668
U3,SOT23_DBV_TEX-L,1,TPS7A0233PDBVR,C2887324
U4,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32L432KBUx,C2928224
U5,QFN50P500X500X100-33N,1,ST25R3916-AQWT,C2908147
Y1,Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm,1,32.768k,C95361
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,27.12MHz,C29975
