Designator,Mid X,Mid Y,Rotation,Layer
AE1,139.9,-91.575,0.0,top
C1,125.5,-134.0,180.0,top
C10,105.490073,-114.519408,0.0,top
C11,105.455183,-116.670965,180.0,top
C12,152.188903,-115.742658,180.0,top
C13,152.188903,-123.742658,180.0,top
C14,143.510656,-103.262915,90.0,top
C15,133.118169,-103.245251,270.0,top
C16,141.447885,-103.287958,90.0,top
C17,135.225,-103.225,270.0,top
C18,147.72823,-123.907496,0.0,top
C19,142.225,-108.725,0.0,top
C2,151.38604,-131.995813,90.0,top
C20,134.225,-108.725,180.0,top
C21,139.225,-107.225,270.0,top
C22,137.117842,-107.218522,270.0,top
C23,142.225,-106.225,0.0,top
C24,134.225,-106.225,180.0,top
C25,150.976358,-110.762487,90.0,top
C26,143.725,-111.275,0.0,top
C27,134.5,-111.5,180.0,top
C28,146.5,-109.775,90.0,top
C29,151.697011,-113.566884,0.0,top
C3,144.5,-133.0,180.0,top
C30,143.725,-113.775,0.0,top
C31,147.725,-113.275,0.0,top
C32,148.725,-109.775,90.0,top
C33,146.5,-116.275,90.0,top
C34,147.72823,-119.651226,0.0,top
C35,134.725,-120.775,180.0,top
C36,148.725,-116.275,90.0,top
C37,147.725,-121.775,0.0,top
C38,134.725,-123.0,180.0,top
C4,123.436759,-122.60471,0.0,top
C5,120.5,-133.0,0.0,top
C6,107.990605,-112.206504,180.0,top
C7,123.42836,-120.451861,0.0,top
C8,108.5,-118.75,180.0,top
C9,108.5,-121.25,180.0,top
D1,144.0,-142.5,270.0,top
D2,141.5,-142.5,270.0,top
D3,139.0,-142.5,270.0,top
D4,154.0,-106.0,90.0,top
D5,115.0,-129.2625,90.0,top
D6,112.5,-129.2625,90.0,top
FB1,109.5,-123.5,90.0,top
FB2,152.984494,-111.985,0.0,top
J1,130.038808,-141.332395,0.0,top
J2,156.2,-132.35,90.0,top
J3,121.15,-109.0,270.0,top
J4,158.0,-106.005,180.0,top
J5,104.5,-123.5,180.0,top
J6,144.5,-125.0,90.0,top
J7,137.725,-123.275,0.0,top
L1,139.225,-111.225,90.0,top
L2,137.225,-111.225,90.0,top
Q1,154.063965,-100.303097,90.0,top
R1,125.5,-131.5,180.0,top
R10,138.0,-130.5875,90.0,top
R11,122.5,-105.4125,270.0,top
R12,116.0,-142.0,270.0,top
R13,104.5,-131.5,270.0,top
R14,115.0,-125.7625,270.0,top
R15,112.5,-125.7625,270.0,top
R16,154.0,-97.0,180.0,top
R17,141.225,-124.225,180.0,top
R18,138.3125,-104.225,180.0,top
R19,139.284699,-101.34359,90.0,top
R2,133.0,-134.5,0.0,top
R20,137.284346,-101.359375,270.0,top
R3,139.0,-139.0,90.0,top
R4,141.5,-139.0,90.0,top
R5,144.0,-139.0,90.0,top
R6,149.0,-139.0,180.0,top
R7,148.5,-133.0,180.0,top
R8,144.5,-130.5,180.0,top
R9,138.0,-134.0875,90.0,top
SW1,119.5,-139.0,90.0,top
SW2,112.0,-139.0,90.0,top
SW3,104.5,-139.0,90.0,top
TH1,155.045,-138.0,0.0,top
U1,129.5,-133.0,90.0,top
U2,149.0,-136.0,270.0,top
U3,123.26365,-125.5,180.0,top
U4,116.0,-117.15,90.0,top
U5,139.725,-118.275,180.0,top
Y1,108.606923,-115.554481,90.0,top
Y2,152.188903,-119.742658,270.0,top
